ROE[ PSZ]	TaskID	LineNum	RepeatIndex	Node	PID	ReturnCode	Elapsed	Start	Finish	BytesOfLeakedOutput	OutputSnippet	BytesOfLeakedError	ErrorSnippet	Command
    	20	25	-1	worker6072	994855	0	268.302	1785286230.476	1785286498.779	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	4	9	-1	worker6072	994681	0	269.309	1785286230.348	1785286499.657	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	25	30	-1	worker6072	994911	0	270.309	1785286230.523	1785286500.832	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 16 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	13	18	-1	worker6072	994762	0	283.318	1785286230.422	1785286513.740	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 64 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	26	31	-1	worker6072	994915	0	284.336	1785286230.525	1785286514.861	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 24 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	21	26	-1	worker6072	994866	0	288.329	1785286230.486	1785286518.815	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 64 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	27	32	-1	worker6072	994928	0	295.329	1785286230.543	1785286525.872	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 32 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	14	19	-1	worker6072	994796	0	298.336	1785286230.432	1785286528.768	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 96 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	5	10	-1	worker6072	994671	0	311.356	1785286230.351	1785286541.708	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 64 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	15	20	-1	worker6072	994805	0	311.349	1785286230.438	1785286541.788	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry trivial --U 4 --chi 128 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	22	27	-1	worker6072	994878	0	317.356	1785286230.488	1785286547.844	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 96 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	28	33	-1	worker6072	994942	0	319.368	1785286230.553	1785286549.921	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 48 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	23	28	-1	worker6072	994879	0	338.377	1785286230.500	1785286568.877	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry u1 --U 4 --chi 128 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	29	34	-1	worker6072	994955	0	346.388	1785286230.567	1785286576.956	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 64 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	6	11	-1	worker6072	994647	0	360.398	1785286230.349	1785286590.748	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry trivial --spin-symmetry trivial --U 4 --chi 96 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	30	35	-1	worker6072	994963	0	367.400	1785286230.577	1785286597.977	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 96 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
    	31	36	-1	worker6072	994966	0	381.409	1785286230.582	1785286611.991	0	''	0	''	cd /mnt/home/ldevos/Projects/Canopy.jl/hubbard/ && JULIA_NUM_THREADS=1 /mnt/home/ldevos/.julia/juliaup/julia-1.12.6+0.x64.linux.gnu/bin/julia --project=/mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/run.jl --quench cdw --particle-symmetry u1 --spin-symmetry u1 --U 4 --chi 128 --outroot /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench --lattice hex --size 4 4 --dt 0.02 --nsteps 12 --measure-every 25 --no-energy > /mnt/home/ldevos/Projects/Canopy.jl/hubbard/scripts/hubbard_quench/results/bench/logs/task_${DISBATCH_TASKID}.log 2>&1
